一,二,三,四,五,年龄,性别,地区,城市,教育情况,月收入,医疗行业,自我健康,娱乐上网,科普接受
0.25,0.176470588,0.166666667,0.157894737,0.15,2,1,3,1,3,1,2,1,3,1
0.2,0.192307692,0.185185185,0.178571429,0.172413793,2,2,3,1,3,2,1,1,3,1
0.222222222,0.157894737,0.2,0.238095238,0.090909091,2,1,3,1,3,1,1,2,1,1
0.235294118,0.166666667,0.210526316,0.25,0.047619048,2,1,3,1,3,1,1,2,2,1
0.19047619,0.181818182,0.217391304,0.208333333,0.12,2,1,4,2,2,1,3,4,3,2
0.2,0.192307692,0.185185185,0.178571429,0.172413793,2,1,3,1,3,1,4,3,3,1
0.230769231,0.285714286,0.133333333,0.1875,0.058823529,2,2,3,1,3,1,1,2,3,1
0.2,0.192307692,0.185185185,0.178571429,0.172413793,2,2,3,1,3,2,2,1,2,1
0.263157895,0.25,0.142857143,0.181818182,0.086956522,2,2,3,1,4,1,1,2,3,1
0.2,0.166666667,0.142857143,0.125,0.111111111,5,2,1,3,4,2,1,3,3,2
0.384615385,0.071428571,0.066666667,0.0625,0.294117647,3,1,2,3,1,1,4,2,2,1
0.307692308,0.214285714,0.133333333,0.125,0.117647059,2,2,2,3,4,2,4,2,2,1
0.235294118,0.222222222,0.157894737,0.1,0.19047619,2,1,3,1,4,2,1,2,1,1
0.230769231,0.142857143,0.2,0.125,0.176470588,2,1,3,1,4,2,1,3,2,3
0.2,0.25,0.117647059,0.166666667,0.157894737,3,1,3,5,2,1,4,2,2,1
0.230769231,0.142857143,0.133333333,0.25,0.117647059,3,1,3,6,3,3,1,2,2,1
0.2,0.192307692,0.185185185,0.178571429,0.172413793,3,2,4,5,2,2,3,3,3,2
0.214285714,0.2,0.0625,0.235294118,0.166666667,2,2,1,3,3,1,3,2,3,2
0.333333333,0.25,0.117647059,0.111111111,0.105263158,2,2,1,1,3,2,4,1,3,1
0.176470588,0.166666667,0.157894737,0.2,0.19047619,4,1,3,4,2,1,4,1,2,1
0.2,0.192307692,0.185185185,0.178571429,0.172413793,3,1,3,6,2,2,4,2,3,2
0.2,0.192307692,0.185185185,0.178571429,0.172413793,3,2,4,6,2,1,4,3,2,1
0.19047619,0.227272727,0.173913043,0.166666667,0.16,2,1,1,1,4,3,1,2,2,2
0.166666667,0.2,0.192307692,0.185185185,0.178571429,2,1,3,2,3,3,4,2,3,1
0.2,0.166666667,0.142857143,0.125,0.111111111,3,1,3,6,2,4,4,1,3,1
0.25,0.076923077,0.071428571,0.2,0.25,3,1,3,6,2,2,4,3,3,1
0.222222222,0.157894737,0.2,0.142857143,0.181818182,3,1,1,4,3,3,4,2,3,2
0.2,0.192307692,0.185185185,0.178571429,0.172413793,3,1,3,5,1,1,4,2,3,1
0.222222222,0.157894737,0.2,0.19047619,0.136363636,2,1,5,1,3,1,2,2,3,1
0.2,0.1875,0.176470588,0.166666667,0.157894737,4,1,3,5,2,1,4,2,3,2
0.214285714,0.133333333,0.1875,0.117647059,0.222222222,3,1,5,5,1,1,4,2,1,1
0.2,0.192307692,0.185185185,0.178571429,0.172413793,3,2,4,6,1,1,3,2,2,1
0.210526316,0.25,0.142857143,0.181818182,0.130434783,2,1,3,1,3,2,1,2,2,1
0.238095238,0.227272727,0.173913043,0.166666667,0.12,2,1,3,1,4,3,1,2,1,1
0.2,0.192307692,0.185185185,0.178571429,0.172413793,2,2,4,6,3,2,4,2,3,1
0.176470588,0.222222222,0.210526316,0.15,0.142857143,3,1,3,5,2,1,4,2,1,1
0.1875,0.235294118,0.222222222,0.105263158,0.15,3,2,3,5,1,1,4,3,1,1
0.2,0.090909091,0.083333333,0.076923077,0.357142857,3,2,2,3,3,2,4,2,1,1
0.214285714,0.2,0.1875,0.176470588,0.111111111,2,2,5,3,3,1,4,3,3,1
0.384615385,0.071428571,0.066666667,0.0625,0.294117647,2,1,3,1,3,3,4,3,2,1
0.2,0.192307692,0.185185185,0.178571429,0.172413793,3,1,3,5,3,4,4,2,3,2
0.2,0.192307692,0.185185185,0.178571429,0.172413793,2,1,3,2,3,3,4,1,3,1
0.25,0.238095238,0.136363636,0.217391304,0.083333333,2,2,3,1,4,1,1,3,3,1
0.238095238,0.136363636,0.130434783,0.208333333,0.2,3,2,3,1,2,1,4,3,1,2
0.2,0.1875,0.176470588,0.166666667,0.157894737,2,1,3,2,3,1,4,2,2,1
0.2,0.0625,0.058823529,0.277777778,0.263157895,2,1,4,1,3,1,4,4,2,1
0.2,0.192307692,0.185185185,0.178571429,0.172413793,2,1,6,4,2,1,4,2,3,1
0.222222222,0.157894737,0.2,0.19047619,0.136363636,2,1,3,2,3,1,4,2,3,2
0.25,0.047619048,0.181818182,0.217391304,0.208333333,3,2,2,6,3,2,4,3,3,2
0.166666667,0.157894737,0.15,0.238095238,0.181818182,2,2,3,3,3,1,1,2,2,1
0.2,0.192307692,0.185185185,0.178571429,0.172413793,3,2,6,4,3,2,2,3,2,3
0.2,0.166666667,0.142857143,0.125,0.111111111,3,1,5,1,3,4,4,3,2,1
0.2,0.192307692,0.185185185,0.178571429,0.172413793,4,2,3,3,1,1,4,4,1,1
0.2,0.166666667,0.142857143,0.125,0.111111111,3,2,4,6,1,2,4,2,1,1
0.285714286,0.066666667,0.25,0.235294118,0.055555556,2,2,4,2,3,2,4,2,3,1
0.2,0.1875,0.176470588,0.166666667,0.157894737,2,2,3,1,4,3,4,2,3,1
